property,superproperty,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/goldenRaspberryAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,goldenRaspberryAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/government,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,government,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/governmentCountry,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,governmentCountry,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/governmentMountain,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,governmentMountain,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/governmentPlace,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,governmentPlace,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/governmentPosition,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,governmentPosition,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/governmentRegion,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,governmentRegion,DUL.owl#isPartOf
http://dbpedia.org/ontology/goyaAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,goyaAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/grammyAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,grammyAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/guest,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,guest,DUL.owl#hasParticipant
http://dbpedia.org/ontology/handedness,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasQuality,handedness,DUL.owl#hasQuality
http://dbpedia.org/ontology/hasJunctionWith,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary,hasJunctionWith,DUL.owl#hasCommonBoundary
http://dbpedia.org/ontology/headteacher,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,headteacher,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/heir,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,heir,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/heritageRegister,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf,heritageRegister,DUL.owl#isMemberOf
http://dbpedia.org/ontology/highestAltitude,http://dbpedia.org/ontology/altitude,highestAltitude,altitude
http://dbpedia.org/ontology/highestMountain,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,highestMountain,DUL.owl#isLocationOf
http://dbpedia.org/ontology/highestPoint,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,highestPoint,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/highestPosition,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,highestPosition,DUL.owl#isLocationOf
http://dbpedia.org/ontology/highestRegion,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,highestRegion,DUL.owl#isLocationOf
http://dbpedia.org/ontology/highestState,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,highestState,DUL.owl#isLocationOf
http://dbpedia.org/ontology/highwaySystem,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf,highwaySystem,DUL.owl#isPartOf
http://dbpedia.org/ontology/homeArena,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,homeArena,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/homeColourHexCode,http://dbpedia.org/ontology/colourHexCode,homeColourHexCode,colourHexCode
http://dbpedia.org/ontology/humanDevelopmentIndexRankingCategory,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy,humanDevelopmentIndexRankingCategory,DUL.owl#isClassifiedBy
http://dbpedia.org/ontology/iftaAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,iftaAward,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/individualisedGnd,http://dbpedia.org/ontology/code,individualisedGnd,code
http://dbpedia.org/ontology/isniId,http://dbpedia.org/ontology/code,isniId,code
http://dbpedia.org/ontology/judge,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isSettingFor,judge,DUL.owl#isSettingFor
http://dbpedia.org/ontology/landeshauptmann,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs,landeshauptmann,DUL.owl#sameSettingAs
http://dbpedia.org/ontology/landingVehicle,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,landingVehicle,DUL.owl#hasParticipant
http://dbpedia.org/ontology/largestMetro,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf,largestMetro,DUL.owl#isLocationOf
http://dbpedia.org/ontology/lastFlight,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn,lastFlight,DUL.owl#isParticipantIn
http://dbpedia.org/ontology/lastLaunchRocket,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,lastLaunchRocket,DUL.owl#coparticipatesWith
http://dbpedia.org/ontology/launchPad,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasParticipant,launchPad,DUL.owl#hasParticipant
http://dbpedia.org/ontology/laurenceOlivierAward,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith,laurenceOlivierAward,DUL.owl#coparticipatesWith
