"superclass","subclass"
"http://dbpedia.org/ontology/Document","http://dbpedia.org/ontology/Image"
"http://dbpedia.org/ontology/Document","http://dbpedia.org/ontology/Sound"
"http://dbpedia.org/ontology/Drug","http://dbpedia.org/ontology/CombinationDrug"
"http://dbpedia.org/ontology/Drug","http://dbpedia.org/ontology/MonoclonalAntibody"
"http://dbpedia.org/ontology/Drug","http://dbpedia.org/ontology/VaccinationStatistics"
"http://dbpedia.org/ontology/Drug","http://dbpedia.org/ontology/Vaccine"
"http://dbpedia.org/ontology/EducationalInstitution","http://dbpedia.org/ontology/College"
"http://dbpedia.org/ontology/EducationalInstitution","http://dbpedia.org/ontology/Library"
"http://dbpedia.org/ontology/EducationalInstitution","http://dbpedia.org/ontology/School"
"http://dbpedia.org/ontology/EducationalInstitution","http://dbpedia.org/ontology/University"
"http://dbpedia.org/ontology/Engine","http://dbpedia.org/ontology/AutomobileEngine"
"http://dbpedia.org/ontology/Engine","http://dbpedia.org/ontology/RocketEngine"
"http://dbpedia.org/ontology/Eukaryote","http://dbpedia.org/ontology/Animal"
"http://dbpedia.org/ontology/Eukaryote","http://dbpedia.org/ontology/Fungus"
"http://dbpedia.org/ontology/Eukaryote","http://dbpedia.org/ontology/Plant"
"http://dbpedia.org/ontology/Event","http://dbpedia.org/ontology/Competition"
"http://dbpedia.org/ontology/Event","http://dbpedia.org/ontology/LifeCycleEvent"
"http://dbpedia.org/ontology/Event","http://dbpedia.org/ontology/NaturalEvent"
"http://dbpedia.org/ontology/Event","http://dbpedia.org/ontology/Outbreak"
"http://dbpedia.org/ontology/Event","http://dbpedia.org/ontology/PenaltyShootOut"
"http://dbpedia.org/ontology/Event","http://dbpedia.org/ontology/SocietalEvent"
"http://dbpedia.org/ontology/Family","http://dbpedia.org/ontology/NobleFamily"
"http://dbpedia.org/ontology/FictionalCharacter","http://dbpedia.org/ontology/ComicsCharacter"
"http://dbpedia.org/ontology/FictionalCharacter","http://dbpedia.org/ontology/DisneyCharacter"
"http://dbpedia.org/ontology/FictionalCharacter","http://dbpedia.org/ontology/MythologicalFigure"
"http://dbpedia.org/ontology/FictionalCharacter","http://dbpedia.org/ontology/NarutoCharacter"
"http://dbpedia.org/ontology/FictionalCharacter","http://dbpedia.org/ontology/SoapCharacter"
"http://dbpedia.org/ontology/FloweringPlant","http://dbpedia.org/ontology/Grape"
"http://dbpedia.org/ontology/Food","http://dbpedia.org/ontology/Beverage"
"http://dbpedia.org/ontology/Food","http://dbpedia.org/ontology/Cheese"
"http://dbpedia.org/ontology/FootballLeagueSeason","http://dbpedia.org/ontology/NationalFootballLeagueSeason"
"http://dbpedia.org/ontology/Game","http://dbpedia.org/ontology/BoardGame"
"http://dbpedia.org/ontology/Game","http://dbpedia.org/ontology/CardGame"
"http://dbpedia.org/ontology/Gene","http://dbpedia.org/ontology/HumanGene"
"http://dbpedia.org/ontology/GeneLocation","http://dbpedia.org/ontology/HumanGeneLocation"
"http://dbpedia.org/ontology/GeneLocation","http://dbpedia.org/ontology/MouseGeneLocation"
"http://dbpedia.org/ontology/Genre","http://dbpedia.org/ontology/ArtisticGenre"
"http://dbpedia.org/ontology/Genre","http://dbpedia.org/ontology/LiteraryGenre"
"http://dbpedia.org/ontology/Genre","http://dbpedia.org/ontology/MovieGenre"
"http://dbpedia.org/ontology/Genre","http://dbpedia.org/ontology/MusicGenre"
"http://dbpedia.org/ontology/GovernmentAgency","http://dbpedia.org/ontology/GovernmentCabinet"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/Arrondissement"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/Canton"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/Department"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/District"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/DistrictWaterBoard"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/MicroRegion"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/Municipality"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/Prefecture"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/Province"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/Regency"
"http://dbpedia.org/ontology/GovernmentalAdministrativeRegion","http://dbpedia.org/ontology/SubMunicipality"
"http://dbpedia.org/ontology/GridironFootballPlayer","http://dbpedia.org/ontology/AmericanFootballPlayer"
"http://dbpedia.org/ontology/GridironFootballPlayer","http://dbpedia.org/ontology/CanadianFootballPlayer"
"http://dbpedia.org/ontology/Group","http://dbpedia.org/ontology/Band"
"http://dbpedia.org/ontology/Group","http://dbpedia.org/ontology/ComedyGroup"
"http://dbpedia.org/ontology/HistoricalAreaOfAuthority","http://dbpedia.org/ontology/Manor"
"http://dbpedia.org/ontology/Identifier","http://dbpedia.org/ontology/TopLevelDomain"
"http://dbpedia.org/ontology/Image","http://dbpedia.org/ontology/MovingImage"
"http://dbpedia.org/ontology/Image","http://dbpedia.org/ontology/StillImage"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/Airport"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/Dam"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/Dike"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/LaunchPad"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/Lock"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/Port"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/PowerStation"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/RestArea"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/RouteOfTransportation"
"http://dbpedia.org/ontology/Infrastructure","http://dbpedia.org/ontology/Station"
"http://dbpedia.org/ontology/Infrastucture","http://dbpedia.org/ontology/ElectricalSubstation"
"http://dbpedia.org/ontology/Instrument","http://dbpedia.org/ontology/Guitar"
"http://dbpedia.org/ontology/Instrument","http://dbpedia.org/ontology/Organ"
"http://dbpedia.org/ontology/Instrumentalist","http://dbpedia.org/ontology/Guitarist"
"http://dbpedia.org/ontology/Island","http://dbpedia.org/ontology/Atoll"
"http://dbpedia.org/ontology/Language","http://dbpedia.org/ontology/ProgrammingLanguage"
"http://dbpedia.org/ontology/LegalCase","http://dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase"
"http://dbpedia.org/ontology/LifeCycleEvent","http://dbpedia.org/ontology/PersonalEvent"
"http://dbpedia.org/ontology/List","http://dbpedia.org/ontology/SingleList"
"http://dbpedia.org/ontology/List","http://dbpedia.org/ontology/TrackList"
"http://dbpedia.org/ontology/List","http://dbpedia.org/ontology/WorkSequence"
"http://dbpedia.org/ontology/Mammal","http://dbpedia.org/ontology/Cat"
"http://dbpedia.org/ontology/Mammal","http://dbpedia.org/ontology/Dog"
"http://dbpedia.org/ontology/Mammal","http://dbpedia.org/ontology/Horse"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Aircraft"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Automobile"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Locomotive"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/MilitaryVehicle"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Motorcycle"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/On-SiteTransportation"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Rocket"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Ship"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/SpaceShuttle"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/SpaceStation"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Spacecraft"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Train"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/TrainCarriage"
"http://dbpedia.org/ontology/MeanOfTransportation","http://dbpedia.org/ontology/Tram"
"http://dbpedia.org/ontology/MilitaryStructure","http://dbpedia.org/ontology/Fort"
"http://dbpedia.org/ontology/Mill","http://dbpedia.org/ontology/Treadmill"
"http://dbpedia.org/ontology/Mill","http://dbpedia.org/ontology/Watermill"
"http://dbpedia.org/ontology/Mill","http://dbpedia.org/ontology/WindMotor"
"http://dbpedia.org/ontology/Mill","http://dbpedia.org/ontology/Windmill"
