superclass,subclass,last_word_superclass,last_word_subclass
http://dbpedia.org/ontology/Database,http://dbpedia.org/ontology/BiologicalDatabase,Database,BiologicalDatabase
http://dbpedia.org/ontology/Database,http://dbpedia.org/ontology/حیاتیاتی'ریکارڈرز_پر_مبنی_ایک_فائل',Database,حیاتیاتی'ریکارڈرز_پر_مبنی_ایک_فائل'
http://dbpedia.org/ontology/Department,http://dbpedia.org/ontology/OverseasDepartment,Department,OverseasDepartment
http://dbpedia.org/ontology/Device,http://dbpedia.org/ontology/Battery,Device,Battery
http://dbpedia.org/ontology/Device,http://dbpedia.org/ontology/Camera,Device,Camera
http://dbpedia.org/ontology/Device,http://dbpedia.org/ontology/Engine,Device,Engine
http://dbpedia.org/ontology/Device,http://dbpedia.org/ontology/InformationAppliance,Device,InformationAppliance
http://dbpedia.org/ontology/Device,http://dbpedia.org/ontology/Instrument,Device,Instrument
http://dbpedia.org/ontology/Device,http://dbpedia.org/ontology/MobilePhone,Device,MobilePhone
http://dbpedia.org/ontology/Device,http://dbpedia.org/ontology/Robot,Device,Robot
http://dbpedia.org/ontology/Device,http://dbpedia.org/ontology/Weapon,Device,Weapon
http://dbpedia.org/ontology/District,http://dbpedia.org/ontology/HistoricalDistrict,District,HistoricalDistrict
http://dbpedia.org/ontology/Document,http://dbpedia.org/ontology/File,Document,File
http://dbpedia.org/ontology/Document,http://dbpedia.org/ontology/Image,Document,Image
http://dbpedia.org/ontology/Document,http://dbpedia.org/ontology/Sound,Document,Sound
http://dbpedia.org/ontology/Drug,http://dbpedia.org/ontology/CombinationDrug,Drug,CombinationDrug
http://dbpedia.org/ontology/Drug,http://dbpedia.org/ontology/MonoclonalAntibody,Drug,MonoclonalAntibody
http://dbpedia.org/ontology/Drug,http://dbpedia.org/ontology/VaccinationStatistics,Drug,VaccinationStatistics
http://dbpedia.org/ontology/Drug,http://dbpedia.org/ontology/Vaccine,Drug,Vaccine
http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/College,EducationalInstitution,College
http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Library,EducationalInstitution,Library
http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/School,EducationalInstitution,School
http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/University,EducationalInstitution,University
http://dbpedia.org/ontology/Engine,http://dbpedia.org/ontology/AutomobileEngine,Engine,AutomobileEngine
http://dbpedia.org/ontology/Engine,http://dbpedia.org/ontology/RocketEngine,Engine,RocketEngine
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/ontology/Animal,Eukaryote,Animal
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/ontology/Fungus,Eukaryote,Fungus
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/ontology/Plant,Eukaryote,Plant
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Competition,Event,Competition
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/LifeCycleEvent,Event,LifeCycleEvent
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/NaturalEvent,Event,NaturalEvent
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Outbreak,Event,Outbreak
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/PenaltyShootOut,Event,PenaltyShootOut
http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/SocietalEvent,Event,SocietalEvent
http://dbpedia.org/ontology/Family,http://dbpedia.org/ontology/NobleFamily,Family,NobleFamily
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/ontology/ComicsCharacter,FictionalCharacter,ComicsCharacter
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/ontology/DisneyCharacter,FictionalCharacter,DisneyCharacter
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/ontology/MythologicalFigure,FictionalCharacter,MythologicalFigure
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/ontology/NarutoCharacter,FictionalCharacter,NarutoCharacter
http://dbpedia.org/ontology/FictionalCharacter,http://dbpedia.org/ontology/SoapCharacter,FictionalCharacter,SoapCharacter
http://dbpedia.org/ontology/FloweringPlant,http://dbpedia.org/ontology/Grape,FloweringPlant,Grape
http://dbpedia.org/ontology/Food,http://dbpedia.org/ontology/Beverage,Food,Beverage
http://dbpedia.org/ontology/Food,http://dbpedia.org/ontology/Cheese,Food,Cheese
http://dbpedia.org/ontology/FootballLeagueSeason,http://dbpedia.org/ontology/NationalFootballLeagueSeason,FootballLeagueSeason,NationalFootballLeagueSeason
http://dbpedia.org/ontology/Game,http://dbpedia.org/ontology/BoardGame,Game,BoardGame
http://dbpedia.org/ontology/Game,http://dbpedia.org/ontology/CardGame,Game,CardGame
http://dbpedia.org/ontology/Gene,http://dbpedia.org/ontology/HumanGene,Gene,HumanGene
http://dbpedia.org/ontology/GeneLocation,http://dbpedia.org/ontology/HumanGeneLocation,GeneLocation,HumanGeneLocation
http://dbpedia.org/ontology/GeneLocation,http://dbpedia.org/ontology/MouseGeneLocation,GeneLocation,MouseGeneLocation
http://dbpedia.org/ontology/Genre,http://dbpedia.org/ontology/ArtisticGenre,Genre,ArtisticGenre
http://dbpedia.org/ontology/Genre,http://dbpedia.org/ontology/LiteraryGenre,Genre,LiteraryGenre
http://dbpedia.org/ontology/Genre,http://dbpedia.org/ontology/MovieGenre,Genre,MovieGenre
http://dbpedia.org/ontology/Genre,http://dbpedia.org/ontology/MusicGenre,Genre,MusicGenre
http://dbpedia.org/ontology/GovernmentAgency,http://dbpedia.org/ontology/GovernmentCabinet,GovernmentAgency,GovernmentCabinet
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://dbpedia.org/ontology/Arrondissement,GovernmentalAdministrativeRegion,Arrondissement
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://dbpedia.org/ontology/Canton,GovernmentalAdministrativeRegion,Canton
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,http://dbpedia.org/ontology/Department,GovernmentalAdministrativeRegion,Department
