"property","superproperty"
"http://dbpedia.org/ontology/chorusCharacterInPlay","http://dbpedia.org/ontology/characterInPlay"
"http://dbpedia.org/ontology/canonizedBy","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/canonizedPlace","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/majorShrine","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/militaryUnit","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isMemberOf"
"http://dbpedia.org/ontology/spokenIn","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/addressInRoad","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf"
"http://dbpedia.org/ontology/artery","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/authority","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/binomial","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/border","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/branchFrom","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/branchTo","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/ceremonialCounty","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/childOrganisation","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/countySeat","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasLocation"
"http://dbpedia.org/ontology/creatorOfDish","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/denomination","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isExpressedBy"
"http://dbpedia.org/ontology/department","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/domain","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#specializes"
"http://dbpedia.org/ontology/drainsTo","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/firstAscentPerson","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith"
"http://dbpedia.org/ontology/frazioni","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasPart"
"http://dbpedia.org/ontology/gender","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy"
"http://dbpedia.org/ontology/innervates","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#hasCommonBoundary"
"http://dbpedia.org/ontology/isPartOfAnatomicalStructure","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/isPartOfAnatomicalStructure","http://dbpedia.org/ontology/isPartOf"
"http://dbpedia.org/ontology/languageRegulator","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/legalForm","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isClassifiedBy"
"http://dbpedia.org/ontology/lieutenancyArea","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/metropolitanBorough","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/mission","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isParticipantIn"
"http://dbpedia.org/ontology/monarch","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#sameSettingAs"
"http://dbpedia.org/ontology/municipality","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isPartOf"
"http://dbpedia.org/ontology/nerve","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isLocationOf"
